Nome,Descrição,Latitude,Longitude,Categoria
Ibis Styles Tokyo Ginza,Hotel - Check-in: 19/12 15:00 | Check-out: 24/12 11:00 | Café da manhã: 7:00-11:00 | Preço: ¥20149/noite,35.672855,139.767125,Hotel
Tokyo Station,Chegada 14:52 - Hakutaka 562 de Nagano,35.681382,139.767125,Transporte
Shibuya Crossing,16:00-17:30 | FREE | Cruzamento mais famoso do mundo - até 3000 pessoas por vez | Estátua de Hachiko | Melhor vista: Starbucks 2º andar,35.659517,139.700556,Dia 19 Dez
Meiji Jingu,17:30-19:00 | FREE | Santuário xintoísta | Floresta de 100000 árvores | Torii gates gigantes,35.676389,139.699167,Dia 19 Dez
Harajuku - Takeshita Street,17:30-19:00 | FREE | Moda kawaii | Crepes | Cotton candy,35.670278,139.703056,Dia 19 Dez
Ain Soph Ginza,19:00-20:30 | 100% Vegan | ¥1500-2500 | Tel: +81-3-6228-6714 | Panquecas veganas | Pudim japonês vegano | Tiramisu,35.671389,139.765278,Restaurante
Senso-ji Temple,08:00-12:00 | FREE | Templo budista mais antigo de Tokyo (628) | Nakamise Shopping Street 250m | Kaminarimon Gate lanterna 700kg,35.714722,139.796667,Dia 21 Dez
Tokyo Vegan Ramen Center,12:00-13:30 | Cooking class + almoço | ¥5000-8000 | Tel: +81-3-6457-5100 | Reserva: 1-2 semanas antecedência,35.689444,139.700833,Restaurante
Tokyo Skytree,13:30-17:00 | ¥2100 | Reserva: 1 semana | Torre mais alta do Japão 634m | Vista 360° | Melhor: pôr do sol,35.710556,139.810833,Dia 21 Dez
Akihabara,17:00-19:00 e 20:30-22:30 | FREE | Capital mundial de anime manga eletrônicos | Lojas 7-8 andares | Arcades | Maid cafés,35.698333,139.773056,Dia 21 Dez
Vegan Bistro Jangara,19:00-20:30 | Vegan ramen | ¥1200-1800 | Buffalo chicken vegano | Karabun tonkatsu ramen | FILAS LONGAS mas vale a pena,35.694444,139.766667,Restaurante
teamLab Planets,08:00-13:00 | ¥3800 | Reserva: 1-2 MESES | Museu de arte digital IMERSIVO | Andar descalço em água | Flores digitais | 2-3h visita,35.647778,139.797778,Dia 22 Dez
DiverCity Tokyo Plaza - Gundam,08:00-13:00 | FREE | Gundam gigante em frente | Shopping | Food court,35.625278,139.775556,Dia 22 Dez
Inari Sando,14:30-17:00 | FREE | Torii gates SEM multidões | Hidden gem Tokyo | Túneis torii vermelhos | Atmosfera serena,35.685278,139.763889,Dia 22 Dez
Rainbow Bridge,17:00-19:00 pôr do sol | FREE | Vista da ponte iluminada | Passeio beira-mar Odaiba | Fotos Tokyo skyline,35.633333,139.763889,Dia 22 Dez
Plus Veganique Jiyugaoka,19:00-20:30 | 100% Vegan orgânico | ¥2500 | Buffet e pratos à la carte | Gluten-free | 30min de Odaiba,35.607778,139.668056,Restaurante
Palácio Imperial de Tokyo,08:00-12:00 | FREE East Gardens | Residência do Imperador | Ponte Nijubashi | Tours guiados interior (reservar),35.685278,139.752778,Dia 23 Dez
Luxury Dessert Mall - Vegan Vendor,12:00-13:30 | ¥1000-2000 | Andar inteiro sobremesas premium | Vendor 100% vegano | Matcha cheesecake INCRÍVEL,35.670833,139.767222,Restaurante
Bon - Vegan Kaiseki,17:00-19:00 | 100% Vegan fine dining | ¥5000-8000 | Kaiseki tradicional vegano | Ambiente tatami | Reserva: 1 semana,35.665833,139.705556,Restaurante
Shibuya Station,JR Yamanote Line | Acesso: Shibuya Crossing Meiji Jingu Harajuku,35.658056,139.701389,Estação
Asakusa Station,Ginza Line Asakusa Line | Acesso: Senso-ji Temple,35.710833,139.798333,Estação
Akihabara Station,JR Yamanote Line Hibiya Line | Acesso: área anime/eletrônicos,35.698611,139.773333,Estação
Odaiba-Kaihinkoen Station,Yurikamome Line | Acesso: teamLab Planets DiverCity,35.628333,139.774444,Estação
Studio Ghibli Museum,08:00-13:00 | ¥1000 | Museu Hayao Miyazaki | Robot Laputa rooftop | Saturn Theater filmes curtos | Comprar tickets Lawson início mês | TRAZER PASSAPORTE | NÃO fotografar dentro,35.696111,139.570278,Dia 22 Dez
Gotokuji Temple,14:00-16:00 | FREE | Cat Shrine | Centenas Maneki-neko | Origem lenda gato sorte | Templo zen | Instagramável | Comprar gato sorte ¥300-1000,35.644444,139.641667,Dia 22 Dez
Tokyo Metropolitan Building Observatory,20:30-22:00 | FREE | Observatório 45º andar | Vista 360° Tokyo iluminada | Altura 202m | Vê Tokyo Tower Skytree Monte Fuji | Horário até 23:00,35.689444,139.691667,Dia 20 Dez
TeamLab Borderless Azabudai,08:00-13:00 | ¥3800-4200 | Arte digital imersiva | Projeções 360° | Forest of Flowers | Lamp Forest | Crystal Universe | Comprar online antecedência | Roupas claras,35.660833,139.742778,Dia 23 Dez
Kappabashi,16:30-18:00 | Área utensílios cozinha | KAMA-ASA facas japonesas | DENGAMA cerâmicas Bizen Shigaraki Arita | MIKURA hashis 500+ tipos,35.711944,139.790833,Dia 20 Dez
Don Quijote Ginza,18:00-20:00 | Farmácia completa | Rohto eye drops | Kobayashi produtos | Panasonic eye masks | Sana Nameraka | Meishoku peeling | Bioré wipes | Snacks beauty,35.670833,139.766111,Dia 20 Dez
Yodobashi Camera Akihabara,13:30-16:30 | Washlet testar comprar | Panasonic RSTK40 LIXIL E89A TOTO S7 | Câmeras usadas | Eletrônicos | Tax-free,35.698056,139.770833,Dia 20 Dez
